epoch,loss,encoder_mse,dec_mse,bitwise-error,adversarial_bce,discr_cover_bce,discr_encod_bce,duration
1,0.3410,0.0412,0.3114,0.4703,0.7665,0.6488,0.6403,31
2,0.2588,0.0209,0.2432,0.4320,0.9553,0.5602,0.5207,31
3,0.2523,0.0181,0.2388,0.4199,0.8532,0.5637,0.5966,31
4,0.2491,0.0174,0.2359,0.4102,1.0177,0.5012,0.4940,31
5,0.2502,0.0174,0.2368,0.4151,1.1476,0.4446,0.4325,31
6,0.2497,0.0159,0.2373,0.4189,1.2539,0.3951,0.3992,31
7,0.2499,0.0188,0.2353,0.4091,1.4231,0.3485,0.3337,32
8,0.2451,0.0162,0.2322,0.4006,1.4702,0.3456,0.3516,31
9,0.2449,0.0161,0.2321,0.3995,1.5285,0.3518,0.3421,31
10,0.2429,0.0162,0.2301,0.3969,1.4346,0.3794,0.3840,31
11,0.2448,0.0172,0.2313,0.3968,1.5276,0.3671,0.3598,31
12,0.2433,0.0159,0.2307,0.3971,1.4736,0.3739,0.3817,31
13,0.2406,0.0167,0.2271,0.3850,1.7768,0.2785,0.2673,31
14,0.2417,0.0180,0.2273,0.3880,1.8867,0.2446,0.2491,30
15,0.2436,0.0171,0.2295,0.3977,2.1064,0.2077,0.1975,31
16,0.2410,0.0168,0.2273,0.3901,1.9326,0.2652,0.2677,31
17,0.2381,0.0150,0.2255,0.3831,2.0493,0.2401,0.2420,31
18,0.2387,0.0166,0.2249,0.3790,2.2386,0.2159,0.1961,31
19,0.2398,0.0171,0.2258,0.3872,2.0076,0.2435,0.2533,31
20,0.2382,0.0168,0.2244,0.3805,2.0152,0.2475,0.2447,31
21,0.2376,0.0149,0.2253,0.3801,1.9007,0.3006,0.2984,31
22,0.2313,0.0155,0.2185,0.3647,2.0253,0.2614,0.2717,31
23,0.2345,0.0156,0.2216,0.3697,1.9842,0.2530,0.2521,31
24,0.2292,0.0165,0.2156,0.3548,2.1031,0.2562,0.2456,31
25,0.2239,0.0173,0.2098,0.3397,2.0333,0.2526,0.2771,31
26,0.2147,0.0160,0.2015,0.3205,2.0796,0.2484,0.2201,31
27,0.2137,0.0169,0.1996,0.3157,2.2533,0.1828,0.1949,31
